Symbol,Weight,Method,Expected Return,Volatility,Sharpe Ratio
VEA,0.04381025887771503,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
VWO,0.1096661525220432,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
VTI,0.13859743516398446,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
BND,0.11512674085133608,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
SHY,0.004806916318363985,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
SPY,0.09972581437829563,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
TIPS,0.17063527377867843,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
IWM,0.013237733497867625,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
QQQ,0.08921291262518563,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
VNQ,0.04371190362957548,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
DBC,0.020611138922694772,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
EFA,0.0960090192880808,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
GLD,0.0018400694657345546,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
TLT,0.0530086306804443,Eigen Portfolio,-0.2883894862401118,0.10843114164074363,-2.8441043926464817
